Trade#,Date,Time_ET,League,Matchup,Away,Away_Score,Home,Home_Score,Actual_Total,Market_Total,Market_Spread,Favorite,Underdog,UD_Score,Pick_Direction,Tier,Ensemble_Score,Win_Prob,Base_Line,Scaled_OVER,Scaled_UNDER,Zone_Width,Primary_Bet,Primary_Line,Primary_Result,Hedge_Bet,Hedge_Line,Hedge_Result,Execution_Rule
292,2025-11-30,7:00 PM,NBA,ATL@PHI,ATL,142,PHI,134,276,232.5,+3.0,PHI,ATL,142,OVER,C,+67.82,18.6,114.8,99.6,129.9,30.3,OVER,99.6,HIT,UNDER,129.9,MISS,Rule3_OverExecution
293,2025-11-30,7:00 PM,NBA,BOS@CLE,BOS,117,CLE,115,232,235.0,-7.5,BOS,CLE,115,UNDER,A,-18.57,47.9,113.8,101.6,125.9,24.2,UNDER,125.9,HIT,OVER,101.6,HIT,Rule4_UnderExecution
294,2025-11-30,7:00 PM,NBA,HOU@UTA,HOU,129,UTA,101,230,232.5,+11.5,HOU,UTA,101,OVER,A,+49.18,1.5,110.5,94.6,126.4,31.8,OVER,94.6,HIT,UNDER,126.4,HIT,Rule1_UpsetClause
295,2025-11-30,7:00 PM,NBA,MEM@SAC,MEM,115,SAC,107,222,233.5,+3.0,SAC,MEM,115,UNDER,C,-76.43,18.6,115.2,100.1,130.4,30.3,UNDER,130.4,HIT,OVER,100.1,HIT,Rule4_UnderExecution
296,2025-11-30,7:00 PM,NBA,NOP@LAL,NOP,121,LAL,133,254,228.0,-15.5,NOP,LAL,133,OVER,A,+54.62,49.9,106.2,86.5,126.0,39.4,OVER,86.5,HIT,UNDER,126.0,MISS,Rule2_StructuralOutlier
297,2025-11-30,7:00 PM,NBA,OKC@POR,OKC,123,POR,115,238,233.5,+11.5,OKC,POR,115,OVER,A,+25.29,1.5,111.0,95.1,126.9,31.8,OVER,95.1,HIT,UNDER,126.9,HIT,Rule1_UpsetClause
298,2025-11-30,7:00 PM,NBA,SAS@MIN,SAS,112,MIN,125,237,234.0,+4.5,MIN,SAS,112,OVER,B,+52.77,13.0,114.8,103.2,126.2,23.0,OVER,103.2,HIT,UNDER,126.2,HIT,Rule1_UpsetClause
299,2025-11-30,7:00 PM,NBA,TOR@NYK,TOR,94,NYK,116,210,229.5,+8.5,NYK,TOR,94,UNDER,A,-27.76,4.0,110.5,97.4,123.6,26.2,UNDER,123.6,HIT,OVER,97.4,MISS,Rule1_UpsetClause
300,2025-12-01,7:30 PM,NBA,ATL@DET,ATL,98,DET,99,197,232.5,+9.5,DET,ATL,98,OVER,A,+64.24,2.9,111.5,97.5,125.5,28.1,OVER,97.5,HIT,UNDER,125.5,HIT,Rule1_UpsetClause
301,2025-12-01,7:30 PM,NBA,CHA@BKN,CHA,103,BKN,116,219,228.0,-4.5,CHA,BKN,116,UNDER,B,-33.09,44.5,111.8,100.2,123.2,23.0,UNDER,123.2,HIT,OVER,100.2,HIT,Rule4_UnderExecution
302,2025-12-01,7:30 PM,NBA,CHI@ORL,CHI,120,ORL,125,245,239.0,-9.5,CHI,ORL,125,OVER,A,+51.96,49.0,114.8,100.7,128.8,28.1,OVER,100.7,HIT,UNDER,128.8,HIT,Rule3_OverExecution
303,2025-12-01,7:30 PM,NBA,CLE@IND,CLE,135,IND,119,254,232.0,+5.0,CLE,IND,119,UNDER,B,-88.82,11.4,113.5,101.5,125.5,24.0,UNDER,125.5,HIT,OVER,101.5,HIT,Rule1_UpsetClause
304,2025-12-01,7:30 PM,NBA,DAL@DEN,DAL,131,DEN,121,252,235.5,-11.0,DAL,DEN,121,OVER,A,+73.84,49.4,112.2,96.8,127.7,30.9,OVER,96.8,HIT,UNDER,127.7,HIT,Rule3_OverExecution
305,2025-12-01,7:30 PM,NBA,HOU@UTA,HOU,125,UTA,133,258,235.0,-11.5,HOU,UTA,133,OVER,A,+31.21,49.5,111.8,95.8,127.7,31.8,OVER,95.8,HIT,UNDER,127.7,MISS,Rule3_OverExecution
306,2025-12-01,7:30 PM,NBA,LAC@MIA,LAC,123,MIA,140,263,235.5,+6.0,MIA,LAC,123,OVER,A,+24.78,8.6,114.8,104.0,125.5,21.4,OVER,104.0,HIT,UNDER,125.5,HIT,Rule1_UpsetClause
307,2025-12-01,7:30 PM,NBA,MIL@WAS,MIL,126,WAS,129,255,232.5,+10.0,MIL,WAS,129,UNDER,A,-33.07,2.4,111.2,96.8,125.8,29.0,UNDER,125.8,MISS,OVER,96.8,HIT,Rule1_UpsetClause
308,2025-12-01,7:30 PM,NBA,PHX@LAL,PHX,125,LAL,108,233,231.5,-5.5,PHX,LAL,108,OVER,A,+51.20,46.0,113.0,102.8,123.2,20.4,OVER,102.8,HIT,UNDER,123.2,HIT,Rule3_OverExecution
309,2025-12-02,7:30 PM,NBA,MEM@SAS,MEM,119,SAS,126,245,232.5,+5.0,SAS,MEM,119,UNDER,B,-4.55,11.4,113.8,101.8,125.8,24.0,UNDER,125.8,HIT,OVER,101.8,HIT,Rule1_UpsetClause
310,2025-12-02,7:30 PM,NBA,MIN@NOP,MIN,149,NOP,142,291,229.5,+12.5,MIN,NOP,142,UNDER,A,-15.03,1.0,108.5,91.6,125.4,33.8,UNDER,125.4,MISS,OVER,91.6,HIT,Rule2_StructuralOutlier
311,2025-12-02,7:30 PM,NBA,NYK@BOS,NYK,117,BOS,123,240,231.0,+1.0,BOS,NYK,117,UNDER,C,-16.75,27.2,115.0,102.0,128.1,26.1,UNDER,128.1,HIT,OVER,102.0,HIT,Rule4_UnderExecution
312,2025-12-02,7:30 PM,NBA,OKC@GSW,OKC,124,GSW,112,236,223.5,+11.0,OKC,GSW,112,UNDER,A,-6.93,1.7,106.2,90.8,121.7,30.9,UNDER,121.7,HIT,OVER,90.8,HIT,Rule1_UpsetClause
313,2025-12-02,7:30 PM,NBA,POR@TOR,POR,118,TOR,121,239,231.5,+5.0,TOR,POR,118,UNDER,B,-16.65,11.4,113.2,101.2,125.2,24.0,UNDER,125.2,HIT,OVER,101.2,HIT,Rule1_UpsetClause
314,2025-12-02,7:30 PM,NBA,WAS@PHI,WAS,102,PHI,121,223,235.5,+13.0,PHI,WAS,102,OVER,A,+44.75,0.9,111.2,93.9,128.6,34.7,OVER,93.9,HIT,UNDER,128.6,HIT,Rule2_StructuralOutlier
315,2025-12-03,7:30 PM,NBA,BKN@CHI,BKN,113,CHI,103,216,231.0,+8.0,CHI,BKN,113,UNDER,A,-32.97,4.7,111.5,98.9,124.1,25.2,UNDER,124.1,HIT,OVER,98.9,HIT,Rule1_UpsetClause
316,2025-12-03,7:30 PM,NBA,CHA@NYK,CHA,104,NYK,119,223,235.5,+9.0,NYK,CHA,104,UNDER,A,-27.33,3.4,113.2,99.7,126.8,27.1,UNDER,126.8,HIT,OVER,99.7,HIT,Rule1_UpsetClause
317,2025-12-03,7:30 PM,NBA,DEN@IND,DEN,135,IND,120,255,237.5,+8.0,DEN,IND,120,UNDER,A,-18.61,4.7,114.8,102.2,127.3,25.2,UNDER,127.3,HIT,OVER,102.2,HIT,Rule1_UpsetClause
318,2025-12-03,7:30 PM,NBA,DET@MIL,DET,109,MIL,113,222,228.0,+4.5,MIL,DET,109,OVER,B,+61.82,13.0,111.8,100.2,123.2,23.0,OVER,100.2,HIT,UNDER,123.2,HIT,Rule1_UpsetClause
319,2025-12-03,7:30 PM,NBA,LAC@ATL,LAC,115,ATL,92,207,225.5,+2.0,ATL,LAC,115,OVER,C,+44.75,22.8,111.8,97.7,125.8,28.2,OVER,97.7,HIT,UNDER,125.8,HIT,Rule3_OverExecution
320,2025-12-03,7:30 PM,NBA,MIA@DAL,MIA,108,DAL,118,226,239.0,+4.5,DAL,MIA,108,OVER,B,+47.33,13.0,117.2,105.8,128.8,23.0,OVER,105.8,HIT,UNDER,128.8,HIT,Rule1_UpsetClause
321,2025-12-03,7:30 PM,NBA,POR@CLE,POR,122,CLE,110,232,245.0,+10.0,CLE,POR,122,OVER,A,+17.01,2.4,117.5,103.0,132.0,29.0,OVER,103.0,HIT,UNDER,132.0,HIT,Rule1_UpsetClause
322,2025-12-03,7:30 PM,NBA,SAC@HOU,SAC,95,HOU,121,216,231.0,+15.5,HOU,SAC,95,OVER,A,+5.91,0.4,107.8,88.0,127.5,39.4,OVER,88.0,HIT,UNDER,127.5,HIT,Rule2_StructuralOutlier
323,2025-12-03,7:30 PM,NBA,SAS@ORL,SAS,114,ORL,112,226,236.0,+8.0,ORL,SAS,114,OVER,A,+85.08,4.7,114.0,101.4,126.6,25.2,OVER,101.4,HIT,UNDER,126.6,HIT,Rule1_UpsetClause
324,2025-12-04,7:30 PM,NBA,BOS@WAS,BOS,146,WAS,101,247,232.0,+11.0,BOS,WAS,101,UNDER,A,-19.56,1.7,110.5,95.0,126.0,30.9,UNDER,126.0,HIT,OVER,95.0,HIT,Rule1_UpsetClause
325,2025-12-04,7:30 PM,NBA,GSW@PHI,GSW,98,PHI,99,197,223.5,+4.0,PHI,GSW,98,OVER,B,+50.34,14.7,109.8,98.8,120.8,22.0,OVER,98.8,MISS,UNDER,120.8,HIT,Rule1_UpsetClause
326,2025-12-04,7:30 PM,NBA,LAL@TOR,LAL,123,TOR,120,243,228.5,+2.0,TOR,LAL,123,OVER,C,+50.26,22.8,113.2,99.2,127.3,28.2,OVER,99.2,HIT,UNDER,127.3,HIT,Rule3_OverExecution
327,2025-12-04,7:30 PM,NBA,MIN@NOP,MIN,125,NOP,116,241,233.5,+12.0,NOP,MIN,125,OVER,A,+84.23,1.2,110.8,94.3,127.2,32.8,OVER,94.3,HIT,UNDER,127.2,HIT,Rule1_UpsetClause
328,2025-12-04,7:30 PM,NBA,UTA@BKN,UTA,123,BKN,110,233,231.0,+5.0,UTA,BKN,110,OVER,B,+18.78,11.4,113.0,101.0,125.0,24.0,OVER,101.0,HIT,UNDER,125.0,HIT,Rule1_UpsetClause
329,2025-12-05,7:30 PM,NBA,CHA@TOR,CHA,111,TOR,86,197,230.5,-6.0,CHA,TOR,86,UNDER,A,-71.72,46.6,112.2,101.5,123.0,21.4,UNDER,123.0,HIT,OVER,101.5,MISS,Rule4_UnderExecution
330,2025-12-05,7:30 PM,NBA,DAL@OKC,DAL,111,OKC,132,243,229.0,+15.5,OKC,DAL,111,UNDER,A,-1.29,0.4,106.8,87.0,126.5,39.4,UNDER,126.5,HIT,OVER,87.0,HIT,Rule2_StructuralOutlier
331,2025-12-05,7:30 PM,NBA,DEN@ATL,DEN,134,ATL,133,267,239.5,-3.5,DEN,ATL,133,OVER,B,+89.59,42.6,118.0,107.5,128.5,21.0,OVER,107.5,HIT,UNDER,128.5,MISS,Rule3_OverExecution
332,2025-12-05,7:30 PM,NBA,IND@CHI,IND,120,CHI,105,225,235.5,-4.5,IND,CHI,105,UNDER,B,-87.10,44.5,115.5,104.0,127.0,23.0,UNDER,127.0,HIT,OVER,104.0,HIT,Rule4_UnderExecution
333,2025-12-05,7:30 PM,NBA,LAC@MEM,LAC,98,MEM,107,205,223.5,-2.0,LAC,MEM,107,UNDER,C,-22.28,38.6,110.8,96.7,124.8,28.2,UNDER,124.8,HIT,OVER,96.7,HIT,Rule4_UnderExecution
334,2025-12-05,7:30 PM,NBA,LAL@BOS,LAL,105,BOS,126,231,227.5,+9.0,BOS,LAL,105,OVER,A,+76.72,3.4,109.2,95.7,122.8,27.1,OVER,95.7,HIT,UNDER,122.8,HIT,Rule1_UpsetClause
335,2025-12-05,7:30 PM,NBA,MIA@ORL,MIA,105,ORL,106,211,241.0,+7.0,ORL,MIA,105,OVER,A,+54.43,6.4,117.0,105.3,128.7,23.3,OVER,105.3,MISS,UNDER,128.7,HIT,Rule1_UpsetClause
336,2025-12-05,7:30 PM,NBA,PHI@MIL,PHI,116,MIL,101,217,221.5,+1.0,MIL,PHI,116,OVER,C,+10.84,27.2,110.2,97.2,123.3,26.1,OVER,97.2,HIT,UNDER,123.3,HIT,Rule3_OverExecution
337,2025-12-05,7:30 PM,NBA,PHX@HOU,PHX,98,HOU,117,215,219.0,+8.5,HOU,PHX,98,OVER,A,+72.37,4.0,105.2,92.2,118.3,26.2,OVER,92.2,HIT,UNDER,118.3,HIT,Rule1_UpsetClause
338,2025-12-05,7:30 PM,NBA,POR@DET,POR,116,DET,122,238,235.5,-8.5,POR,DET,122,OVER,A,+42.45,48.5,113.5,100.4,126.6,26.2,OVER,100.4,HIT,UNDER,126.6,HIT,Rule3_OverExecution
339,2025-12-05,7:30 PM,NBA,SAS@CLE,SAS,117,CLE,130,247,238.5,+5.5,CLE,SAS,117,OVER,A,+60.67,9.9,116.5,106.3,126.7,20.4,OVER,106.3,HIT,UNDER,126.7,HIT,Rule1_UpsetClause
340,2025-12-05,7:30 PM,NBA,UTA@NYK,UTA,112,NYK,146,258,243.0,+16.0,NYK,UTA,112,OVER,A,+38.61,0.3,113.5,93.3,133.7,40.4,OVER,93.3,HIT,UNDER,133.7,HIT,Rule2_StructuralOutlier
341,2025-12-06,7:00 PM,NBA,ATL@WAS,ATL,131,WAS,116,247,237.5,+9.5,ATL,WAS,116,UNDER,A,-18.90,2.9,114.0,100.0,128.0,28.1,UNDER,128.0,HIT,OVER,100.0,HIT,Rule1_UpsetClause
342,2025-12-06,7:00 PM,NBA,GSW@CLE,GSW,99,CLE,94,193,230.5,+9.5,CLE,GSW,99,UNDER,A,-18.64,2.9,110.5,96.5,124.5,28.1,UNDER,124.5,HIT,OVER,96.5,HIT,Rule1_UpsetClause
343,2025-12-06,7:00 PM,NBA,HOU@DAL,HOU,109,DAL,122,231,221.5,+6.5,DAL,HOU,109,OVER,A,+25.80,7.4,107.5,96.3,118.7,22.3,OVER,96.3,HIT,UNDER,118.7,HIT,Rule1_UpsetClause
344,2025-12-06,7:00 PM,NBA,LAC@MIN,LAC,106,MIN,109,215,228.0,+8.0,MIN,LAC,106,OVER,A,+48.73,4.7,110.0,97.4,122.6,25.2,OVER,97.4,HIT,UNDER,122.6,HIT,Rule1_UpsetClause
345,2025-12-06,7:00 PM,NBA,MIL@DET,MIL,112,DET,124,236,223.5,+12.5,DET,MIL,112,UNDER,A,-31.21,1.0,105.5,88.6,122.4,33.8,UNDER,122.4,HIT,OVER,88.6,HIT,Rule2_StructuralOutlier
346,2025-12-06,7:00 PM,NBA,NOP@BKN,NOP,101,BKN,119,220,227.5,+4.0,BKN,NOP,101,UNDER,B,-49.33,14.7,111.8,100.8,122.8,22.0,UNDER,122.8,HIT,OVER,100.8,HIT,Rule1_UpsetClause
347,2025-12-06,7:00 PM,NBA,SAC@MIA,SAC,127,MIA,111,238,241.5,+8.5,MIA,SAC,127,UNDER,A,-18.55,4.0,116.5,103.4,129.6,26.1,UNDER,129.6,HIT,OVER,103.4,HIT,Rule1_UpsetClause
348,2025-12-07,7:00 PM,NBA,BOS@TOR,BOS,121,TOR,113,234,224.5,+3.5,BOS,TOR,113,UNDER,B,-42.55,16.6,110.5,100.0,121.0,21.0,UNDER,121.0,HIT,OVER,100.0,HIT,Rule4_UnderExecution
349,2025-12-07,7:00 PM,NBA,DEN@CHA,DEN,115,CHA,106,221,235.5,+10.5,DEN,CHA,106,OVER,A,+25.86,2.1,112.5,97.5,127.5,29.9,OVER,97.5,HIT,UNDER,127.5,HIT,Rule1_UpsetClause
350,2025-12-07,7:00 PM,NBA,GSW@CHI,GSW,123,CHI,91,214,229.5,+1.0,GSW,CHI,91,UNDER,C,-65.89,27.2,114.2,101.2,127.3,26.1,UNDER,127.3,HIT,OVER,101.2,MISS,Rule4_UnderExecution
351,2025-12-07,7:00 PM,NBA,LAL@PHI,LAL,112,PHI,108,220,234.0,+2.5,LAL,PHI,108,OVER,C,+33.51,20.7,115.8,101.1,130.4,29.2,OVER,101.1,HIT,UNDER,130.4,HIT,Rule3_OverExecution
352,2025-12-07,7:00 PM,NBA,OKC@UTA,OKC,131,UTA,101,232,234.0,+11.5,OKC,UTA,101,OVER,A,+75.67,1.5,111.2,95.3,127.2,31.8,OVER,95.3,HIT,UNDER,127.2,HIT,Rule1_UpsetClause
353,2025-12-07,7:00 PM,NBA,ORL@NYK,ORL,100,NYK,106,206,229.5,+1.0,NYK,ORL,100,OVER,C,+44.03,27.2,114.2,101.2,127.3,26.1,OVER,101.2,MISS,UNDER,127.3,HIT,Rule3_OverExecution
354,2025-12-07,7:00 PM,NBA,POR@MEM,POR,96,MEM,119,215,232.5,+2.0,MEM,POR,96,UNDER,C,-21.37,22.8,115.2,101.2,129.3,28.2,UNDER,129.3,HIT,OVER,101.2,MISS,Rule4_UnderExecution
355,2025-12-08,7:30 PM,NBA,PHX@MIN,PHX,108,MIN,105,213,225.5,+8.0,MIN,PHX,108,OVER,A,+81.82,4.7,108.8,96.2,121.3,25.2,OVER,96.2,HIT,UNDER,121.3,HIT,Rule1_UpsetClause
356,2025-12-08,7:30 PM,NBA,SAC@IND,SAC,105,IND,116,221,232.0,+4.0,IND,SAC,105,UNDER,B,-80.96,14.7,114.0,103.0,125.0,22.0,UNDER,125.0,HIT,OVER,103.0,HIT,Rule1_UpsetClause
357,2025-12-08,7:30 PM,NBA,SAS@NOP,SAS,135,NOP,132,267,238.5,+8.0,SAS,NOP,132,OVER,A,+35.92,4.7,115.2,102.7,127.8,25.2,OVER,102.7,HIT,UNDER,127.8,MISS,Rule1_UpsetClause
358,2025-12-09,7:30 PM,NBA,MIA@ORL,MIA,108,ORL,117,225,235.0,+1.5,ORL,MIA,108,OVER,C,+16.96,25.0,116.8,103.2,130.3,27.1,OVER,103.2,HIT,UNDER,130.3,HIT,Rule3_OverExecution
359,2025-12-09,7:30 PM,NBA,NYK@TOR,NYK,117,TOR,101,218,226.5,+6.0,NYK,TOR,101,UNDER,A,-46.27,8.6,110.2,99.5,121.0,21.4,UNDER,121.0,HIT,OVER,99.5,HIT,Rule1_UpsetClause
360,2025-12-10,7:30 PM,NBA,PHX@OKC,PHX,89,OKC,138,227,221.5,+15.5,OKC,PHX,89,OVER,A,+73.10,0.4,103.0,83.3,122.7,39.4,OVER,83.3,HIT,UNDER,122.7,HIT,Rule2_StructuralOutlier
361,2025-12-10,7:30 PM,NBA,SAS@LAL,SAS,132,LAL,119,251,243.0,+7.0,LAL,SAS,132,OVER,A,+69.15,6.4,118.0,106.3,129.7,23.3,OVER,106.3,HIT,UNDER,129.7,MISS,Rule1_UpsetClause
362,2025-12-11,7:30 PM,NBA,BOS@MIL,BOS,101,MIL,116,217,222.5,+9.5,BOS,MIL,116,OVER,A,+7.07,2.9,106.5,92.5,120.5,28.1,OVER,92.5,HIT,UNDER,120.5,HIT,Rule1_UpsetClause
363,2025-12-11,7:30 PM,NBA,DEN@SAC,DEN,136,SAC,105,241,240.0,+10.5,DEN,SAC,105,OVER,A,+15.81,2.1,114.8,99.8,129.7,29.9,OVER,99.8,HIT,UNDER,129.7,HIT,Rule1_UpsetClause
364,2025-12-11,7:30 PM,NBA,LAC@HOU,LAC,113,HOU,115,228,221.5,+9.0,HOU,LAC,113,OVER,A,+30.73,3.4,106.2,92.7,119.8,27.1,OVER,92.7,HIT,UNDER,119.8,HIT,Rule1_UpsetClause
365,2025-12-11,7:30 PM,NBA,POR@NOP,POR,120,NOP,143,263,242.5,+4.0,NOP,POR,120,OVER,B,+47.08,14.7,119.2,108.2,130.2,22.0,OVER,108.2,HIT,UNDER,130.2,HIT,Rule1_UpsetClause
366,2025-12-12,7:30 PM,NBA,ATL@DET,ATL,115,DET,142,257,233.0,+7.0,DET,ATL,115,OVER,A,+36.15,6.4,113.0,101.3,124.7,23.3,OVER,101.3,HIT,UNDER,124.7,HIT,Rule1_UpsetClause
367,2025-12-12,7:30 PM,NBA,BKN@DAL,BKN,111,DAL,119,230,219.0,+7.5,DAL,BKN,111,UNDER,A,-15.80,5.5,105.8,93.6,117.9,24.2,UNDER,117.9,HIT,OVER,93.6,HIT,Rule1_UpsetClause
368,2025-12-12,7:30 PM,NBA,CHI@CHA,CHI,129,CHA,126,255,229.5,+2.5,CHI,CHA,126,UNDER,C,-80.63,20.7,113.5,98.9,128.1,29.2,UNDER,128.1,HIT,OVER,98.9,HIT,Rule4_UnderExecution
369,2025-12-12,7:30 PM,NBA,CLE@WAS,CLE,130,WAS,126,256,246.0,+17.0,CLE,WAS,126,UNDER,A,-19.74,0.2,114.5,93.3,135.7,42.3,UNDER,135.7,HIT,OVER,93.3,HIT,Rule2_StructuralOutlier
370,2025-12-12,7:30 PM,NBA,IND@PHI,IND,105,PHI,115,220,221.0,+5.0,PHI,IND,105,UNDER,B,-15.20,11.4,108.0,96.0,120.0,24.0,UNDER,120.0,HIT,OVER,96.0,HIT,Rule1_UpsetClause
371,2025-12-12,7:30 PM,NBA,MIN@GSW,MIN,127,GSW,120,247,229.0,+5.0,GSW,MIN,127,OVER,B,+0.58,11.4,112.0,100.0,124.0,24.0,OVER,100.0,HIT,UNDER,124.0,MISS,Rule1_UpsetClause
372,2025-12-12,7:30 PM,NBA,UTA@MEM,UTA,130,MEM,126,256,244.0,+7.5,MEM,UTA,130,UNDER,A,-4.62,5.5,118.2,106.1,130.4,24.2,UNDER,130.4,HIT,OVER,106.1,HIT,Rule1_UpsetClause
373,2025-12-13,7:00 PM,NBA,NYK@ORL,NYK,132,ORL,120,252,225.0,+4.0,NYK,ORL,120,OVER,B,+9.03,14.7,110.5,99.5,121.5,22.0,OVER,99.5,HIT,UNDER,121.5,HIT,Rule1_UpsetClause
374,2025-12-13,7:00 PM,NBA,SAS@OKC,SAS,111,OKC,109,220,234.0,+10.0,OKC,SAS,111,OVER,A,+86.51,2.4,112.0,97.5,126.5,29.0,OVER,97.5,HIT,UNDER,126.5,HIT,Rule1_UpsetClause
375,2025-12-14,7:00 PM,NBA,CHA@CLE,CHA,119,CLE,111,230,233.0,+12.5,CLE,CHA,119,UNDER,A,-41.94,1.0,110.2,93.4,127.1,33.8,UNDER,127.1,HIT,OVER,93.4,HIT,Rule2_StructuralOutlier
376,2025-12-14,7:00 PM,NBA,GSW@POR,GSW,131,POR,136,267,238.0,+5.0,POR,GSW,131,UNDER,B,-34.21,11.4,116.5,104.5,128.5,24.0,UNDER,128.5,MISS,OVER,104.5,HIT,Rule1_UpsetClause
377,2025-12-14,7:00 PM,NBA,LAL@PHX,LAL,116,PHX,114,230,232.0,+1.5,PHX,LAL,116,OVER,C,+43.50,25.0,115.2,101.7,128.8,27.1,OVER,101.7,HIT,UNDER,128.8,HIT,Rule3_OverExecution
378,2025-12-14,7:00 PM,NBA,MIL@BKN,MIL,82,BKN,127,209,216.0,+1.0,MIL,BKN,127,UNDER,C,-6.46,27.2,107.5,94.5,120.5,26.1,UNDER,120.5,MISS,OVER,94.5,HIT,Rule4_UnderExecution
379,2025-12-14,7:00 PM,NBA,NOP@CHI,NOP,114,CHI,104,218,247.5,+4.5,CHI,NOP,114,OVER,B,+28.89,13.0,121.5,110.0,133.0,23.0,OVER,110.0,HIT,UNDER,133.0,HIT,Rule1_UpsetClause
380,2025-12-14,7:00 PM,NBA,PHI@ATL,PHI,117,ATL,120,237,226.0,+4.5,ATL,PHI,117,UNDER,B,-28.97,13.0,110.8,99.2,122.2,23.0,UNDER,122.2,HIT,OVER,99.2,HIT,Rule1_UpsetClause
381,2025-12-14,7:00 PM,NBA,SAC@MIN,SAC,103,MIN,117,220,235.5,+10.0,MIN,SAC,103,UNDER,A,-4.73,2.4,112.8,98.2,127.2,29.0,UNDER,127.2,HIT,OVER,98.2,HIT,Rule1_UpsetClause
382,2025-12-14,7:00 PM,NBA,WAS@IND,WAS,108,IND,89,197,233.5,+10.0,IND,WAS,108,UNDER,A,-24.06,2.4,111.8,97.2,126.2,29.0,UNDER,126.2,HIT,OVER,97.2,HIT,Rule1_UpsetClause
383,2025-12-15,7:30 PM,NBA,DAL@UTA,DAL,133,UTA,140,273,241.5,+1.0,DAL,UTA,140,OVER,C,+54.58,27.2,120.2,107.2,133.3,26.1,OVER,107.2,HIT,UNDER,133.3,MISS,Rule3_OverExecution
384,2025-12-15,7:30 PM,NBA,DET@BOS,DET,112,BOS,105,217,231.5,+1.0,BOS,DET,112,OVER,C,+61.39,27.2,115.2,102.2,128.3,26.1,OVER,102.2,HIT,UNDER,128.3,HIT,Rule3_OverExecution
385,2025-12-15,7:30 PM,NBA,HOU@DEN,HOU,125,DEN,128,253,237.5,+1.0,DEN,HOU,125,OVER,C,+74.46,27.2,118.2,105.2,131.3,26.1,OVER,105.2,HIT,UNDER,131.3,HIT,Rule3_OverExecution
386,2025-12-15,7:30 PM,NBA,MEM@LAC,MEM,121,LAC,103,224,229.5,-5.5,MEM,LAC,103,UNDER,A,-16.88,46.0,112.0,101.8,122.2,20.4,UNDER,122.2,HIT,OVER,101.8,HIT,Rule4_UnderExecution
387,2025-12-15,7:30 PM,NBA,TOR@MIA,TOR,106,MIA,96,202,233.0,+5.0,MIA,TOR,106,UNDER,B,-45.80,11.4,114.0,102.0,126.0,24.0,UNDER,126.0,HIT,OVER,102.0,HIT,Rule1_UpsetClause
388,2025-12-16,7:30 PM,NBA,SAS@NYK,SAS,113,NYK,124,237,233.0,+2.5,NYK,SAS,113,OVER,C,+58.84,20.7,115.2,100.6,129.9,29.2,OVER,100.6,HIT,UNDER,129.9,HIT,Rule3_OverExecution
389,2025-12-17,7:30 PM,NBA,CLE@CHI,CLE,111,CHI,127,238,243.5,+5.5,CLE,CHI,127,UNDER,A,-50.39,9.9,119.0,108.8,129.2,20.4,UNDER,129.2,HIT,OVER,108.8,HIT,Rule1_UpsetClause
390,2025-12-17,7:30 PM,NBA,MEM@MIN,MEM,116,MIN,110,226,227.0,+6.5,MIN,MEM,116,UNDER,A,-25.68,7.4,110.2,99.1,121.4,22.3,UNDER,121.4,HIT,OVER,99.1,HIT,Rule1_UpsetClause
391,2025-12-18,7:30 PM,NBA,ATL@CHA,ATL,126,CHA,133,259,246.0,+2.5,CHA,ATL,126,OVER,C,+21.62,20.7,121.8,107.1,136.4,29.2,OVER,107.1,HIT,UNDER,136.4,HIT,Rule3_OverExecution
392,2025-12-18,7:30 PM,NBA,DET@DAL,DET,114,DAL,116,230,233.0,+1.5,DAL,DET,114,OVER,C,+73.94,25.0,115.8,102.2,129.3,27.1,OVER,102.2,HIT,UNDER,129.3,HIT,Rule3_OverExecution
393,2025-12-18,7:30 PM,NBA,GSW@PHX,GSW,98,PHX,99,197,231.0,+2.0,PHX,GSW,98,UNDER,C,-31.02,22.8,114.5,100.4,128.6,28.2,UNDER,128.6,HIT,OVER,100.4,MISS,Rule4_UnderExecution
394,2025-12-18,7:30 PM,NBA,HOU@NOP,HOU,128,NOP,133,261,236.0,+9.5,HOU,NOP,133,OVER,A,+31.29,2.9,113.2,99.2,127.3,28.1,OVER,99.2,HIT,UNDER,127.3,MISS,Rule1_UpsetClause
395,2025-12-18,7:30 PM,NBA,LAC@OKC,LAC,101,OKC,122,223,222.5,+17.0,OKC,LAC,101,OVER,A,+9.66,0.2,102.8,81.6,123.9,42.3,OVER,81.6,HIT,UNDER,123.9,HIT,Rule2_StructuralOutlier
396,2025-12-18,7:30 PM,NBA,LAL@UTA,LAL,143,UTA,135,278,249.5,+7.0,LAL,UTA,135,OVER,A,+67.91,6.4,121.2,109.6,132.9,23.3,OVER,109.6,HIT,UNDER,132.9,MISS,Rule1_UpsetClause
397,2025-12-18,7:30 PM,NBA,MIA@BKN,MIA,106,BKN,95,201,236.0,+11.5,MIA,BKN,95,UNDER,A,-49.61,1.5,112.2,96.3,128.2,31.9,UNDER,128.2,HIT,OVER,96.3,MISS,Rule1_UpsetClause
398,2025-12-18,7:30 PM,NBA,NYK@IND,NYK,114,IND,113,227,225.0,+2.5,NYK,IND,113,UNDER,C,-16.49,20.7,111.2,96.6,125.9,29.2,UNDER,125.9,HIT,OVER,96.6,HIT,Rule4_UnderExecution
